Comment,Date,Eval_Annot_Dataset,Eval_Loss,Experiment_Name,Learning_Rate,Loss,Max_Seq_Length,Model,Num_Train_Iterations,Train_Annot_Dataset,User,accuracy,f1_macro,f1_micro,f1_negative,f1_neutral,f1_positive,f1_weighted,precision_macro,precision_micro,precision_negative,precision_neutral,precision_positive,precision_weighted,recall_macro,recall_micro,recall_negative,recall_neutral,recall_positive,recall_weighted
No Comment,2020-02-10 12:38:09.087285,cb-annot-en,0.49735355,zeroshot-cb-annot-en-cb-annot-en,2e-05,0.54155695,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.8295,0.5742245244259928,0.8295,0.0,0.8999486916367367,0.8227248816412415,0.8012541205258015,0.5607953187115361,0.8295,0.0,0.9669239250275634,0.7154620311070449,0.7928140255066066,0.6031574846544155,0.8295,0.0,0.8416506717850288,0.9678217821782178,0.8295
No Comment,2020-02-10 12:39:33.626629,cb-annot-en-de,1.612631,zeroshot-cb-annot-en-cb-annot-de,2e-05,1.7558863,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.595,0.35330474427274217,0.595,0.0,0.7272074659009332,0.33270676691729323,0.5132886235689728,0.4240849579510703,0.595,0.0,0.580848623853211,0.69140625,0.581950258027523,0.39707610396356335,0.595,0.0,0.972168905950096,0.21905940594059406,0.595
No Comment,2020-02-10 12:40:57.529491,cb-annot-en-es,0.54273444,zeroshot-cb-annot-en-cb-annot-es,2e-05,0.5910195,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.815,0.5639318521014357,0.815,0.0,0.886063072227874,0.805732484076433,0.7871547841976012,0.5493436757377278,0.815,0.0,0.9426406926406926,0.7053903345724907,0.7760934960330872,0.5917496500129859,0.815,0.0,0.8358925143953935,0.9393564356435643,0.815
No Comment,2020-02-10 12:42:21.415791,cb-annot-en-fr,0.5103335,zeroshot-cb-annot-en-cb-annot-fr,2e-05,0.5455514,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.8275,0.5729763904080561,0.8275,0.0,0.8973697782362041,0.8215593929879644,0.7994396492282,0.5605316805994799,0.8275,0.0,0.9698996655518395,0.7116953762466002,0.7928426577561348,0.6021558249874891,0.8275,0.0,0.8349328214971209,0.9715346534653465,0.8275
No Comment,2020-02-10 12:43:46.722542,cb-annot-en-pt,0.5441804,zeroshot-cb-annot-en-cb-annot-pt,2e-05,0.57008797,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.8185,0.5659175937858939,0.8184999999999999,0.0,0.8893340010015023,0.8084187803561792,0.789944201785679,0.5488631144734755,0.8185,0.0,0.9298429319371728,0.7167464114832536,0.7740137177785015,0.5930624972286096,0.8185,0.0,0.8522072936660269,0.926980198019802,0.8185
No Comment,2020-02-10 12:45:09.932788,cb-annot-en,0.49735355,translate-cb-annot-en-cb-annot-en,2e-05,0.54155695,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.8295,0.5742245244259928,0.8295,0.0,0.8999486916367367,0.8227248816412415,0.8012541205258015,0.5607953187115361,0.8295,0.0,0.9669239250275634,0.7154620311070449,0.7928140255066066,0.6031574846544155,0.8295,0.0,0.8416506717850288,0.9678217821782178,0.8295
No Comment,2020-02-10 12:50:35.100993,cb-annot-en-de,0.48700052,translate-cb-annot-de-cb-annot-de,2e-05,0.49861476,128,bert_model.ckpt,100,cb-annot-en-de,TPU1,0.822,0.5689091303849816,0.822,0.0,0.8932038834951456,0.8135235076597992,0.7940227203955297,0.5549562253951467,0.822,0.0,0.9551912568306011,0.7096774193548387,0.784364322228098,0.597247296706638,0.822,0.0,0.8387715930902111,0.9529702970297029,0.822
No Comment,2020-02-10 12:55:56.152515,cb-annot-en-es,0.47670326,translate-cb-annot-es-cb-annot-es,2e-05,0.45427626,128,bert_model.ckpt,100,cb-annot-en-es,TPU1,0.8255,0.5716529970588214,0.8255,0.0,0.8965873836608066,0.8183716075156576,0.797744156323606,0.5598514405357422,0.8255,0.0,0.9719730941704036,0.7075812274368231,0.7922607979472568,0.6007835908350913,0.8255,0.0,0.8320537428023033,0.9702970297029703,0.8255
No Comment,2020-02-10 13:01:15.430386,cb-annot-en-fr,0.4955515,translate-cb-annot-fr-cb-annot-fr,2e-05,0.52839565,128,bert_model.ckpt,100,cb-annot-en-fr,TPU1,0.8235,0.5704157728668601,0.8235,0.0,0.8933957358294332,0.8178515827711469,0.795871217806678,0.5597428518585016,0.8235,0.0,0.9750283768444948,0.7042001787310098,0.7924866565433097,0.5998745747895327,0.8235,0.0,0.8243761996161229,0.9752475247524752,0.8235
No Comment,2020-02-10 13:06:28.686660,cb-annot-en-pt,0.49135113,translate-cb-annot-pt-cb-annot-pt,2e-05,0.5091948,128,bert_model.ckpt,100,cb-annot-en-pt,TPU1,0.825,0.5712311761213364,0.825,0.0,0.8948453608247423,0.818848167539267,0.7970290926755547,0.5587371007966887,0.825,0.0,0.9665924276169265,0.7096188747731398,0.7902806801967672,0.6002784059595979,0.825,0.0,0.8330134357005758,0.9678217821782178,0.825
No Comment,2020-02-10 13:12:21.396968,cb-annot-en,0.5110993,multitranslate-cb-annot-en-de-fr-es-cb-annot-en,2e-05,0.54637134,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.83,0.5745569050832209,0.83,0.0,0.9005128205128204,0.8231578947368422,0.8017229689608637,0.5610258561800412,0.83,0.0,0.9669603524229075,0.7161172161172161,0.7930976989236901,0.603477382287173,0.83,0.0,0.8426103646833013,0.9678217821782178,0.83
No Comment,2020-02-10 13:13:45.552417,cb-annot-en-de,0.52468395,multitranslate-cb-annot-en-de-fr-escb-annot-de,2e-05,0.5413,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.823,0.5697737654258513,0.823,0.0,0.893573264781491,0.815748031496063,0.7951138756755664,0.5568810269155821,0.823,0.0,0.9623477297895903,0.7082953509571559,0.7875344890070676,0.5985355973217283,0.823,0.0,0.8339731285988484,0.9616336633663366,0.823
No Comment,2020-02-10 13:15:11.269652,cb-annot-en-es,0.51660407,multitranslate-cb-annot-en-de-fr-es-cb-annot-es,2e-05,0.5289555,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.821,0.5685103384946645,0.821,0.0,0.8915289256198348,0.8140020898641588,0.7933434145530541,0.5565547828737022,0.821,0.0,0.9653243847874721,0.7043399638336347,0.7874873498630613,0.597441294033434,0.821,0.0,0.8282149712092131,0.9641089108910891,0.821
No Comment,2020-02-10 13:16:34.968026,cb-annot-en-fr,0.5122118,multitranslate-cb-annot-en-de-fr-es-cb-annot-fr,2e-05,0.5264108,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.828,0.5733092243752361,0.828,0.0,0.8979381443298969,0.8219895287958114,0.7999095428293841,0.5607581275591251,0.828,0.0,0.9699331848552338,0.7123411978221416,0.793121033229722,0.6024757226202467,0.828,0.0,0.8358925143953935,0.9715346534653465,0.828
No Comment,2020-02-10 13:17:59.391298,cb-annot-en-pt,0.5181826,multitranslate-cb-annot-en-de-fr-es-cb-annot-pt,2e-05,0.5302177,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.8255,0.5716179177098285,0.8255,0.0,0.895198760970573,0.8196549921589127,0.7975391712978693,0.5594057820807739,0.8255,0.0,0.9687150837988827,0.709502262443439,0.7913394726863673,0.6007835908350913,0.8255,0.0,0.8320537428023033,0.9702970297029703,0.8255
No Comment,2020-02-10 13:23:23.993400,cb-annot-en,0.45458817,zeroshot-cb-annot-en-cb-annot-en,2e-05,0.4663689,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.8425,0.5826394083814194,0.8425,0.0,0.9150326797385622,0.8328855454056958,0.813217786487692,0.5656405509743536,0.8425,0.0,0.9609292502639916,0.7359924026590693,0.7979850700618035,0.6108263177565357,0.8425,0.0,0.8733205374280231,0.9591584158415841,0.8425
No Comment,2020-02-10 13:24:49.147393,cb-annot-en-de,1.7128567,zeroshot-cb-annot-en-cb-annot-de,2e-05,1.8820668,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.5705,0.31790209125712987,0.5705,0.0,0.7111574556830031,0.24254881808838644,0.46850275691855275,0.4242149010541381,0.5705,0.0,0.5574931880108992,0.7151515151515152,0.5793751630748907,0.37593514629773916,0.5705,0.0,0.9817658349328215,0.14603960396039603,0.5705
